statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
JD Vance,"January 22, 2026","""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",false,press conference,Immigration; National,Amy Sherman,"January 28, 2026",https://www.politifact.com/factchecks/2026/jan/28/jd-vance/why-ice-in-Minneapolis-immigration-population/
Donald Trump,"January 21, 2026",Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,false,speech,Immigration,Maria Briceño,"January 26, 2026",https://www.politifact.com/factchecks/2026/jan/26/donald-trump/Trump-paid-protesters-ICE-Minnesota-Minneapolis/
Social Media,"January 25, 2026",Evan Kilgore is one of the Border Patrol agents who shot Alex Pretti in Minneapolis.,pants-fire,posts,Immigration,Loreben Tuquero,"January 26, 2026",https://www.politifact.com/factchecks/2026/jan/26/social-media/evan-kilgore-minneapolis-alex-pretti/
Social Media,"January 24, 2026","Donald Trump posted on Truth Social, “Only criminals carry guns on our streets, we need law and order.”",pants-fire,posts,Immigration; National; Guns,Maria Briceño,"January 26, 2026",https://www.politifact.com/factchecks/2026/jan/26/social-media/Trump-Truth-Social-post-fake-guns-Minneapolis/
Social Media,"January 11, 2026",A document shows Minnesota shooting victim Renee Good had a record of child abuse.,false,social media posts,Immigration; Crime,Loreben Tuquero,"January 12, 2026",https://www.politifact.com/factchecks/2026/jan/12/social-media/renee-nicole-good-criminal-record/
Mark Warner,"January 11, 2026",“They are not getting the traditional five months training. … The training for the ICE agents now is 47 days.”,mostly-true,interview,Immigration; National; Criminal Justice,Madison Czopek,"January 12, 2026",https://www.politifact.com/factchecks/2026/jan/12/mark-warner/ICE-training-requirements-Trump-Minneapolis/
Ron DeSantis,"January 5, 2026",Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,false,press conference,Immigration; Crime; Florida; Venezuela,Samantha Putterman,"January 7, 2026",https://www.politifact.com/factchecks/2026/jan/07/ron-desantis/maduro-freed-venuzuela-prisoners-us-border/
Tricia McLaughlin,"November 17, 2025","“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",false,interview posted to X,Immigration; North Carolina,Paul Specht,"November 24, 2025",https://www.politifact.com/factchecks/2025/nov/24/tricia-mclaughlin/no-nc-jails-arent-refusing-to-turn-inmates-over-to/
JD Vance,"November 13, 2025",Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,mostly-false,interview,Immigration; National; Housing,Samantha Putterman,"November 20, 2025",https://www.politifact.com/factchecks/2025/nov/20/jd-vance/housing-affordability-supply-illegal-immigrants/
X posts,"October 28, 2025",The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,false,X posts,Immigration; Federal Budget; Food,Loreben Tuquero,"November 3, 2025",https://www.politifact.com/factchecks/2025/nov/03/tweets/SNAP-recipients-american-citizens/
Kristi Noem,"October 30, 2025",“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,pants-fire,press conference,Immigration; National; Illinois,Nick Karmia,"October 31, 2025",https://www.politifact.com/factchecks/2025/oct/31/kristi-noem/immigration-ICE-arrest-US-citizen-Chicago/
Stephen Miller,"October 24, 2025","“To all ICE officers, you have federal immunity in the conduct of your duties.”",mostly-false,interview,Immigration; Corrections and Updates; Legal Issues; Illinois,Maria Ramirez Uribe,"October 29, 2025",https://www.politifact.com/factchecks/2025/oct/29/stephen-miller/ICE-agent-immigration-raids-legal-immunity/
Mike Johnson,"October 5, 2025","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",false,X post,Immigration; National; Health Care,Maria Ramirez Uribe,"October 9, 2025",https://www.politifact.com/factchecks/2025/oct/09/mike-johnson/Shutdown-Medicaid-illegal-immigrants-Democrats/
X posts,"October 5, 2025",“Coca-Cola CEO drops bombshell ultimatum to NFL — pull Bad Bunny from Super Bowl halftime or lose our $100 (million) sponsorship!”,pants-fire,X post,Immigration; Pop Culture; Sports,Maria Briceño,"October 9, 2025",https://www.politifact.com/factchecks/2025/oct/09/tweets/Bad-Bunny-Coca-Cola-Super-Bowl-NFL-sponsorship/
Donald Trump,"October 5, 2025",“Portland is burning to the ground.”,false,statement to the media,Immigration; National; Fires; Crime,Maria Briceño,"October 7, 2025",https://www.politifact.com/factchecks/2025/oct/07/donald-trump/Portland-ICE-arrest-burning-ground/
X posts,"September 19, 2025","Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",half-true,X post,Immigration; National; Economy; Health Care; Labor,Maria Briceño,"October 2, 2025",https://www.politifact.com/factchecks/2025/oct/02/tweets/H-1B-visas-medical-residents-us-100000/
JD Vance,"September 28, 2025",“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,false,interview,Immigration; National; Health Care,Maria Ramirez Uribe,"October 1, 2025",https://www.politifact.com/factchecks/2025/oct/01/jd-vance/government-shutdown-Democrats-immigrant-healthcare/
Kristi Noem,"August 19, 2025","U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",half-true,press conference,Immigration; Border Security; Census,Maria Ramirez Uribe,"September 2, 2025",https://www.politifact.com/factchecks/2025/sep/02/kristi-noem/immigrant-population-drop-1-6-million/
James Uthmeier,"August 24, 2025",The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,false,X post,Immigration; National; Census; Florida,Samantha Putterman,"September 2, 2025",https://www.politifact.com/factchecks/2025/sep/02/james-uthmeier/florida-attorney-general-james-uthmeier-gets-histo/
Donald Trump,"August 4, 2025",“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,mostly-false,post on Truth Social,Immigration; National; Census,Maria Ramirez Uribe,"August 8, 2025",https://www.politifact.com/factchecks/2025/aug/08/donald-trump/negative-net-migration-US-economic-impact/
John Blust,"June 13, 2025",“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,false,email,Immigration; Census; Congress; North Carolina,Paul Specht,"August 7, 2025",https://www.politifact.com/factchecks/2025/aug/07/john-blust/the-us-census-counts-noncitizens-did-that-give-dem/
Threads posts,"July 28, 2025","“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",false,Threads post,Immigration; Corporations,Maria Briceño,"August 5, 2025",https://www.politifact.com/factchecks/2025/aug/05/threads-posts/HomeDepot-immigration-250m-deal-DHS-ICE/
TikTok posts,"June 30, 2025","""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",pants-fire,TikTok post,Immigration; Corrections and Updates,Maria Briceño,"July 15, 2025",https://www.politifact.com/factchecks/2025/jul/15/tiktok-posts/ICE-deportation-flights-ocean/
X posts,"July 12, 2025","The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",false,X post,Immigration; Natural Disasters; Texas,Maria Briceño,"July 14, 2025",https://www.politifact.com/factchecks/2025/jul/14/tweets/Floods-Kerr-County-Sheriff-Mexican-rescuers-green-/
Ron DeSantis,"June 27, 2025",There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,false,press briefing,Environment; Immigration; Florida,Gabrielle Lazor,"July 11, 2025",https://www.politifact.com/factchecks/2025/jul/11/ron-desantis/ron-desantis-claims-zero-environmental-impact-that/
Jon Favreau,"July 8, 2025","“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",mostly-true,Pod Save America,Immigration; National; Federal Budget,Amy Sherman,"July 11, 2025",https://www.politifact.com/factchecks/2025/jul/11/jon-favreau/ICE-FBI-bill-Donald-Trump-largest/
