statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Elise Stefanik,"November 7, 2025",Gov. Kathy Hochul has raised taxes.,half-true,television interview,State Budget; Taxes; New York,Jill Terreri Ramos,"December 11, 2025",https://www.politifact.com/factchecks/2025/dec/11/elise-stefanik/hochul-has-extended-higher-taxes-on-wealthy-indivi/
Ron DeSantis,"October 15, 2025","In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",mostly-true,speech,Housing; Taxes; Florida,Samantha Putterman,"October 30, 2025",https://www.politifact.com/factchecks/2025/oct/30/ron-desantis/desantis-property-tax-homestead-snowbirds-airbnbs/
JD Vance,"August 21, 2025",“We had the biggest tax cut for families that this country has ever seen.”,mostly-false,speech,Georgia; Corrections and Updates; Taxes,Louis Jacobson,"August 22, 2025",https://www.politifact.com/factchecks/2025/aug/22/jd-vance/big-beautiful-bill-biggest-tax-cut-history/
Americans for Prosperity,"July 28, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,mostly-true,X,Education; States; Taxes; Wisconsin,Hope Karnopp,"August 15, 2025",https://www.politifact.com/factchecks/2025/aug/15/americans-prosperity/did-wisconsin-governors-did-evers-400-year-veto-lo/
Lori Chavez-DeRemer,"July 17, 2025","Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",mostly-false,post on X,Taxes,Louis Jacobson,"July 21, 2025",https://www.politifact.com/factchecks/2025/jul/21/lori-chavez-deremer/tax-gains-rich-wealthy-big-beautiful-bill/
Gavin Newsom,"July 14, 2025",“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,mostly-true,podcast interview,Economy; Federal Budget; States; Taxes,Louis Jacobson,"July 18, 2025",https://www.politifact.com/factchecks/2025/jul/18/gavin-newsom/california-texas-federal-balance-payments-gdp/
Hakeem Jeffries,"July 2, 2025","President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",half-true,House floor speech,Taxes,Louis Jacobson,"July 8, 2025",https://www.politifact.com/factchecks/2025/jul/08/hakeem-jeffries/permanent-tax-breaks-billionaires-temporary/
Donald Trump,"June 29, 2025",The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,mostly-false,interview on Fox News' 'Sunday Morning Futures',Congress; Social Security; Taxes,Louis Jacobson,"June 30, 2025",https://www.politifact.com/factchecks/2025/jun/30/donald-trump/trump-tax-social-security-reconciliation-bill/
Elizabeth Warren,"June 24, 2025","“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",half-true,X post,National; Congress; Taxes,Louis Jacobson,"June 27, 2025",https://www.politifact.com/factchecks/2025/jun/27/elizabeth-warren/elizabeth-warren-one-big-beautiful-bill-Meta-taxes/
Occupy Democrats,"June 11, 2025","""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",mostly-true,Facebook post,Immigration; Taxes,Ella Moore,"June 27, 2025",https://www.politifact.com/factchecks/2025/jun/27/occupy-democrats/do-people-in-the-us-illegally-pay-more-taxes-than/
