statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Donald Trump,"January 5, 2026",The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,false,graphic on Truth Social and Instagram,Children; Health Care; Public Health,Grace Abels,"January 15, 2026",https://www.politifact.com/factchecks/2026/jan/15/donald-trump/childhood-vaccine-schedule-injections-CDC-shots/
Robert F. Kennedy Jr.,"November 17, 2025",“We’re not cutting science. We’re not cutting research.”,pants-fire,remarks at George Washington University,Health Care; Public Health; Science,Madison Czopek,"November 20, 2025",https://www.politifact.com/factchecks/2025/nov/20/robert-f-kennedy-jr/medical-science-research-grant-funding-cuts-RFK/
Donald Trump,"November 16, 2025","Stock prices for health insurance companies are “up over 1,000% over a short period of time.”",half-true,remarks to reporters,Health Care,Louis Jacobson,"November 19, 2025",https://www.politifact.com/factchecks/2025/nov/19/donald-trump/health-insurance-company-stock-price-1000-percent/
Darren Soto,"October 13, 2025",Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,mostly-true,X post,Health Care; Florida,Samantha Putterman,"October 20, 2025",https://www.politifact.com/factchecks/2025/oct/20/darren-soto/florida-aca-cost-increase-uninsured-highest/
Mike Johnson,"October 5, 2025","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",false,X post,Immigration; National; Health Care,Maria Ramirez Uribe,"October 9, 2025",https://www.politifact.com/factchecks/2025/oct/09/mike-johnson/Shutdown-Medicaid-illegal-immigrants-Democrats/
Rick Scott,"October 2, 2025",Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,false,X post,Abortion; Federal Budget; Health Care; Florida,Samantha Putterman,"October 8, 2025",https://www.politifact.com/factchecks/2025/oct/08/rick-scott/democrats-shutdown-immigrants-health-abortion-aca/
X posts,"September 19, 2025","Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",half-true,X post,Immigration; National; Economy; Health Care; Labor,Maria Briceño,"October 2, 2025",https://www.politifact.com/factchecks/2025/oct/02/tweets/H-1B-visas-medical-residents-us-100000/
JD Vance,"September 28, 2025",“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,false,interview,Immigration; National; Health Care,Maria Ramirez Uribe,"October 1, 2025",https://www.politifact.com/factchecks/2025/oct/01/jd-vance/government-shutdown-Democrats-immigrant-healthcare/
Amy Klobuchar,"September 28, 2025","People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",mostly-true,"interview on CBS' ""Face the Nation""",Federal Budget; Health Care,Louis Jacobson,"September 30, 2025",https://www.politifact.com/factchecks/2025/sep/30/amy-klobuchar/expiring-aca-subsidies-rural-areas-double/
Donald Trump,"September 22, 2025",“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,pants-fire,press conference,Autism; Families; Health Care; Women,Madison Czopek,"September 23, 2025",https://www.politifact.com/factchecks/2025/sep/23/donald-trump/president-donald-trump-said-theres-no-downside-to/
