statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Social Media,"December 15, 2025",Brown University student Mustapha Karbouch was a suspect in school shooting.,false,social media posts,National; Rhode Island; Education; Crime,Jeff Cercone,"December 19, 2025",https://www.politifact.com/factchecks/2025/dec/19/social-media/brown-shooting-kharbouch-neves-suspect-false/
Social Media,"November 20, 2025","The Trump administration removed nursing from the list of professional degree programs, affecting aspiring nurses’ student loan access.",half-true,social media posts,Education,Madison Czopek,"November 26, 2025",https://www.politifact.com/factchecks/2025/nov/26/social-media/nursing-professional-degree-trump-student-loans/
Anderson Clayton,"October 29, 2025",“North Carolina teachers are already the lowest paid teachers in the south.”,mostly-false,press release,Education; North Carolina,Paul Specht,"November 8, 2025",https://www.politifact.com/factchecks/2025/nov/08/anderson-clayton/lowest-teacher-pay-in-the-south-democrat-mostly-wr/
Joseph Ladapo,"September 3, 2025",Every school vaccine mandate “drips” with “slavery.”,pants-fire,press conference,Children; Education; Public Health; Florida,Samantha Putterman,"September 4, 2025",https://www.politifact.com/factchecks/2025/sep/04/joseph-ladapo/Florida-vaccine-mandate-desantis-slavery/
Americans for Prosperity,"July 28, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,mostly-true,X,Education; States; Taxes; Wisconsin,Hope Karnopp,"August 15, 2025",https://www.politifact.com/factchecks/2025/aug/15/americans-prosperity/did-wisconsin-governors-did-evers-400-year-veto-lo/
Instagram posts,"June 6, 2025",Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,false,video,Immigration; Education,Ella Moore,"June 13, 2025",https://www.politifact.com/factchecks/2025/jun/13/instagram-posts/video-los-angeles-ICE-raids-school/
Donald Trump,"May 25, 2025",Harvard University “refuse(s) to tell us” who its international students are.,false,press gaggle,Immigration; National; Education,Maria Ramirez Uribe,"May 28, 2025",https://www.politifact.com/factchecks/2025/may/28/donald-trump/Harvard-University-international-students-report/
Ruben Gallego,"March 24, 2025",Men “have the lowest college attainment rate ever.”,mostly-true,podcast episode,Education,Claire Cranford,"April 9, 2025",https://www.politifact.com/factchecks/2025/apr/09/ruben-gallego/sen-ruben-gallego-mostly-right-american-men-tra/
TikTok posts,"February 8, 2025",People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,false,TikTok post,Debt; Education; Privacy Issues; DOGE,Claire Cranford,"March 27, 2025",https://www.politifact.com/factchecks/2025/mar/27/tiktok-posts/people-can-get-student-debt-erased-by-filing-famil/
Harriet Hageman,"March 16, 2025",The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,false,podcast interview,Education; Federal Budget,Louis Jacobson,"March 20, 2025",https://www.politifact.com/factchecks/2025/mar/20/harriet-hageman/does-less-than-25-of-education-department-spending/
Brad Schimel,"February 6, 2025",“Eliminate school choice” is on Susan Crawford’s agenda.,false,"X, formerly Twitter",Children; Education; Legal Issues; Wisconsin,Madeline Heim,"March 13, 2025",https://www.politifact.com/factchecks/2025/mar/13/brad-schimel/no-evidence-that-eliminating-school-choice-is-on-s/
