statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Donald Trump,"August 26, 2025",“The average American worker has already seen a $500 wage increase this year.”,half-true,Cabinet meeting,Economy; Jobs; Workers,Louis Jacobson,"September 5, 2025",https://www.politifact.com/factchecks/2025/sep/05/donald-trump/wage-increase-500-dollars-2025-workers/
Donald Trump,"August 5, 2025","Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",pants-fire,interview on CNBC,Economy; Jobs,Louis Jacobson,"August 5, 2025",https://www.politifact.com/factchecks/2025/aug/05/donald-trump/bls-firing-jobs-revision-election/
Rick Scott,"March 9, 2025",“The number of full-time jobs (was) dropping almost the entire Biden administration.”,false,"interview on CNN's ""State of the Union""",Economy; Jobs,Louis Jacobson,"March 11, 2025",https://www.politifact.com/factchecks/2025/mar/11/rick-scott/sen-rick-scott-wrong-that-full-time-jobs-dropped-u/
X posts,"March 7, 2025 in","During President Joe Biden’s four years in office, “31% of U.S. job growth” came from public-sector jobs.",false,on social media,Economy; Jobs,Louis Jacobson,"March 11, 2025",https://www.politifact.com/factchecks/2025/mar/11/tweets/end-wokeness-post-overstates-government-jobs-role/
Kathy Hochul,"November 19, 2024","We’ve created 732,000 jobs since I've been governor.",mostly-true,public event,Economy; Jobs; New York,Jill Terreri Ramos,"December 26, 2024",https://www.politifact.com/factchecks/2024/dec/26/kathy-hochul/job-growth-on-hochuls-watch-helped-by-pandemic-rec/
Social Media,"December 6, 2024",UnitedHealthcare posted a job opening for a CEO 24 hours after its CEO was killed.,false,social media posts,Economy; Fake news; Health Care; Jobs,Sofia Ahmed,"December 9, 2024",https://www.politifact.com/factchecks/2024/dec/09/social-media/unitedhealthcare-did-not-advertise-for-a-new-ceo-a/
Bernie Sanders,"November 10, 2024",Inflation-adjusted weekly wages “are lower today than they were 50 years ago.”,false,"interview on CNN's ""State of the Union""",Economy; Jobs,Louis Jacobson,"November 11, 2024",https://www.politifact.com/factchecks/2024/nov/11/bernie-sanders/are-inflation-adjusted-wages-lower-now-than-50-yea/
Threads posts,"October 21, 2024",The Biden-Harris administration “brought over” 10 million migrants who got 9 million jobs.,false,Threads post,Immigration; Elections; Jobs,Sofia Ahmed,"October 25, 2024",https://www.politifact.com/factchecks/2024/oct/25/threads-posts/no-immigrants-who-entered-the-us-under-bidens-admi/
Mike Rogers,"October 14, 2024","“About 400,000 manufacturing jobs in the state of Michigan will go away with EV mandates.”",false,debate,Jobs; Michigan; 2024 Senate Elections,Caleb McCullough,"October 18, 2024",https://www.politifact.com/factchecks/2024/oct/18/mike-rogers/michigan-senate-candidate-mike-rogers-uses-faulty/
Kamala Harris,"October 7, 2024","""We now have historic low unemployment in America among all groups of people.""",half-true,"interview on CBS's ""60 Minutes""",Economy; Jobs; Workers,Louis Jacobson,"October 8, 2024",https://www.politifact.com/factchecks/2024/oct/08/kamala-harris/kamala-harris-on-60-minutes-said-unemployment-is-a/
Kamala Harris,"September 25, 2024","“Even before the pandemic, (Donald Trump) lost manufacturing jobs, by most people’s estimates at least 200,000.”",mostly-false,interview with MSNBC,Economy; Jobs,Louis Jacobson,"September 26, 2024",https://www.politifact.com/factchecks/2024/sep/26/kamala-harris/kamala-harris-exaggerates-scale-of-prepandemic-man/
Julie Su,"August 15, 2024","“400,000 workers are now in a union that were not in a union when (Biden) became president.”",mostly-true,News conference,National; Jobs; Unions; Wisconsin,Ricardo Torres,"September 23, 2024",https://www.politifact.com/factchecks/2024/sep/23/julie-su/yes-union-membership-has-increased-under-biden-but/
