statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Social Media,"January 11, 2026",A document shows Minnesota shooting victim Renee Good had a record of child abuse.,false,social media posts,Immigration; Crime,Loreben Tuquero,"January 12, 2026",https://www.politifact.com/factchecks/2026/jan/12/social-media/renee-nicole-good-criminal-record/
Pam Bondi,"December 29, 2025","The Justice Department has been investigating fraud in Minnesota “for months. So far, we have charged 98 individuals.”",half-true,X post,National; Crime; States,Amy Sherman,"January 8, 2026",https://www.politifact.com/factchecks/2026/jan/08/pam-bondi/DOJ-Minnesota-fraud-Trump-Biden-Somalis/
Ron DeSantis,"January 5, 2026",Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,false,press conference,Immigration; Crime; Florida; Venezuela,Samantha Putterman,"January 7, 2026",https://www.politifact.com/factchecks/2026/jan/07/ron-desantis/maduro-freed-venuzuela-prisoners-us-border/
Social Media,"December 15, 2025",Brown University student Mustapha Karbouch was a suspect in school shooting.,false,social media posts,National; Rhode Island; Education; Crime,Jeff Cercone,"December 19, 2025",https://www.politifact.com/factchecks/2025/dec/19/social-media/brown-shooting-kharbouch-neves-suspect-false/
Tim Walz,"November 30, 2025",“I take responsibility for putting people in jail” in Minnesota fraud scandal.,false,"interview on NBC's ""Meet the Press""",National; Crime,Amy Sherman,"December 5, 2025",https://www.politifact.com/factchecks/2025/dec/05/tim-walz/MN-Somali-fraud-Donald-Trump-TPS-immigration/
JD Vance,"October 15, 2025","""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",mostly-false,episode of The Charlie Kirk Show,National; Crime; Terrorism,Amy Sherman,"October 20, 2025",https://www.politifact.com/factchecks/2025/oct/20/jd-vance/Trump-Charlie-Kirk-political-violence-left-right/
Donald Trump,"October 5, 2025",“Portland is burning to the ground.”,false,statement to the media,Immigration; National; Fires; Crime,Maria Briceño,"October 7, 2025",https://www.politifact.com/factchecks/2025/oct/07/donald-trump/Portland-ICE-arrest-burning-ground/
Donald Trump,"September 27, 2025","On Jan. 6, 2021, 274 FBI agents were “probably acting as agitators and insurrectionists, but certainly not as ‘law enforcement officials.’”",pants-fire,Truth Social post,National; Crime; Jan. 6,Samantha Putterman,"September 30, 2025",https://www.politifact.com/factchecks/2025/sep/30/donald-trump/FBI-agents-J6-attack-agitators-undercover/
Robert Ortt,"August 4, 2025","During Gov. Hochul’s tenure, there has been “more crime on our streets.”",mostly-true,statement,Crime; New York,Jill Terreri Ramos,"September 27, 2025",https://www.politifact.com/factchecks/2025/sep/27/robert-ortt/ortts-claim-about-rising-crime-needs-context/
Michael Whatley,"September 6, 2025",Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,false,X post,Crime; North Carolina,Will Doran,"September 12, 2025",https://www.politifact.com/factchecks/2025/sep/12/michael-whatley/whatley-falsely-accuses-cooper-of-bearing-direct-r/
X posts,"September 11, 2025",A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,false,X post,National; Crime; Guns; Artificial intelligence,Samantha Putterman,"September 12, 2025",https://www.politifact.com/factchecks/2025/sep/12/tweets/Amazon-book-charlie-kirk-shooting-technical-error/
Donald Trump,"August 25, 2025","In Washington, D.C., “We always have a murder a week.”",false,remarks to the media,National; Crime,Amy Sherman,"August 27, 2025",https://www.politifact.com/factchecks/2025/aug/27/donald-trump/DC-homicide-week-national-guard-crime/
Donald Trump,"August 11, 2025","Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",false,speech,National; Crime,Maria Ramirez Uribe,"August 12, 2025",https://www.politifact.com/factchecks/2025/aug/12/donald-trump/washington-dc-homicide-rate-international/
X posts,"July 28, 2025",Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,false,X post,Crime; New York,Maria Briceño,"July 29, 2025",https://www.politifact.com/factchecks/2025/jul/29/tweets/Manhattan-shane-tamura-shooter-free-palestine/
Markwayne Mullin,"July 27, 2025",The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,false,"interview on CNN's ""State of the Union""",National; Crime; Florida; Jeffrey Epstein,Amy Sherman,"July 28, 2025",https://www.politifact.com/factchecks/2025/jul/28/markwayne-mullin/Epstein-plea-deal-state-charges/
X posts,"June 30, 2025",Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,false,X posts,Fires; Crime; Artificial intelligence,Loreben Tuquero,"July 1, 2025",https://www.politifact.com/factchecks/2025/jul/01/tweets/Wess-Roley-Idaho-firefighters-shooting-suspect/
Mike Lee,"June 15, 2025",The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,pants-fire,post on X,National; Criminal Justice; Crime,Madison Czopek,"June 16, 2025",https://www.politifact.com/factchecks/2025/jun/16/mike-lee/minnesota-shooter-ideology-boelter-marxist/
Gavin Newsom,"June 10, 2025","California has lower homicide rates than Alabama, Arkansas and Oklahoma.",mostly-true,posts on X,Crime; States; California,Louis Jacobson,"June 16, 2025",https://www.politifact.com/factchecks/2025/jun/16/gavin-newsom/california-homicide-rate-alabama-arkansas-oklahoma/
X posts,"May 22, 2025","The slaying of two Israeli embassy employees in Washington, D.C., is a false flag.",pants-fire,X post,Criminal Justice; Israel; Crime,Maria Briceño,"May 23, 2025",https://www.politifact.com/factchecks/2025/may/23/tweets/no-a-shooting-outside-the-capital-jewish-museum-wa/
X posts,"April 29, 2025",California Democrats “block bill to make sex trafficking minors a felony.”,mostly-false,X post,Legal Issues; Crime; California,Grace Abels,"May 5, 2025",https://www.politifact.com/factchecks/2025/may/05/tweets/child-sex-trafficking-already-a-felony-in-ca-bill/
Ian Miles Cheong,"March 19, 2025","Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",false,X post,National; Crime; Race and Ethnicity,Jeff Cercone,"March 21, 2025",https://www.politifact.com/factchecks/2025/mar/21/ian-miles-cheong/netflix-hit-show-adolescence-was-not-based-on-sout/
Facebook posts,"January 27, 2025",“A dangerous Hispanic couple” is “on the run after killing 3 female police officers.”,false,Facebook post,Crime; Facebook Fact-checks,Ciara O'Rourke,"January 31, 2025",https://www.politifact.com/factchecks/2025/jan/31/facebook-posts/no-this-isnt-an-authentic-warning-about-a-couple-w/
Donald Trump,"January 22, 2025","The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,interview,National; Elections; Crime; Jan. 6,Samantha Putterman,"January 24, 2025",https://www.politifact.com/factchecks/2025/jan/24/donald-trump/donald-trump-goes-too-far-in-claim-that-jan-6-comm/
Facebook posts,"December 23, 2024",“The subway burning victim's name was Amelia Carter.”,false,Facebook post,Crime; Facebook Fact-checks; New York,Maria Briceño,"January 2, 2025",https://www.politifact.com/factchecks/2025/jan/02/facebook-posts/social-media-posts-wrongly-identify-new-york-subwa/
Social Media,"December 16, 2024","Tipster in UnitedHealthcare CEO killing is ineligible for reward money ""because she called 911 instead of the tip line.""",false,social media posts,Crime; Facebook Fact-checks,Loreben Tuquero,"December 19, 2024",https://www.politifact.com/factchecks/2024/dec/19/social-media/person-who-called-911-not-the-tiplines-about-the-c/
Social Media,"December 16, 2024",“The school shooter in Madison Wisconsin Christian School shooting has been identified as a female identifying as a male.”,false,post,Crime; Facebook Fact-checks; Wisconsin,Sara Swann,"December 17, 2024",https://www.politifact.com/factchecks/2024/dec/17/social-media/no-officials-didnt-say-madison-wisconsin-school-sh/
